Count	V_gene	J_gene
3	IGHV4-39*02	IGHJ4*01
3	IGHV4-39*10	IGHJ3*01
3	IGHV4-55*04	IGHJ3*02
3	IGHV4-61*09	IGHJ3*01
3	IGHV4-61*09	IGHJ6*01
3	IGHV4-61*11	IGHJ2*01
3	IGHV5-10-1*02	IGHJ6*03
3	IGHV5-51*06	IGHJ6*03
3	IGHV6-1*01	IGHJ6*04
3	IGHV6-1*02	IGHJ2*01
3	IGHV7-34-1*01	IGHJ3*02
3	IGHV7-34-1*01	IGHJ4*01
3	IGHV7-34-1*01	IGHJ6*01
3	IGHV7-34-1*02	IGHJ5*03
3	IGHV7-34-1*04	IGHJ6*04
3	IGHV7-4-1*01	IGHJ3*02
3	IGHV7-4-1*02	IGHJ3*01
3	IGHV7-4-1*02	IGHJ6*03
3	IGHV7-4-1*03	IGHJ6*02
3	IGHV7-4-1*05	IGHJ1*01
3	IGHV7-4-1*05	IGHJ6*03
2	IGHV1-18*01	IGHJ6*01
2	IGHV1-18*01	IGHJ6*03
2	IGHV1-18*01	IGHJ6*04
2	IGHV1-18*03	IGHJ1*01
2	IGHV1-18*04	IGHJ6*02
2	IGHV1-2*02	IGHJ3*02
2	IGHV1-2*02	IGHJ6*04
2	IGHV1-2*07	IGHJ1*01
2	IGHV1-24*01	IGHJ6*03
2	IGHV1-24*01	IGHJ6*04
2	IGHV1-3*04	IGHJ6*03
2	IGHV1-3*05	IGHJ6*03
2	IGHV1-38-4*01	IGHJ3*02
2	IGHV1-45*02	IGHJ5*03
2	IGHV1-45*02	IGHJ6*01
2	IGHV1-46*03	IGHJ6*03
2	IGHV1-46*03	IGHJ6*04
2	IGHV1-58*02	IGHJ4*01
2	IGHV1-68*01	IGHJ5*01
2	IGHV1-68*03	IGHJ2*01
2	IGHV1-68*04	IGHJ1*01
2	IGHV1-68*04	IGHJ6*03
2	IGHV1-69*04	IGHJ6*02
2	IGHV1-69*19	IGHJ3*01
2	IGHV1-69*21	IGHJ6*03
2	IGHV1-8*01	IGHJ1*01
2	IGHV1-8*01	IGHJ3*01
2	IGHV1-8*01	IGHJ5*01
2	IGHV1-8*01	IGHJ5*03
2	IGHV1-8*01	IGHJ6*01
2	IGHV1-8*02	IGHJ6*01
2	IGHV1-8*03	IGHJ6*03
2	IGHV2-10*01	IGHJ1*01
2	IGHV2-10*02	IGHJ5*01
2	IGHV2-26*01	IGHJ1*01
2	IGHV2-26*01	IGHJ4*01
2	IGHV2-26*02	IGHJ3*02
2	IGHV2-26*02	IGHJ4*01
2	IGHV2-26*02	IGHJ4*03
2	IGHV2-26*03	IGHJ4*01
2	IGHV2-26*05	IGHJ6*01
2	IGHV2-5*01	IGHJ3*01
2	IGHV2-5*04	IGHJ6*02
2	IGHV2-5*06	IGHJ4*01
2	IGHV2-5*06	IGHJ6*03
2	IGHV2-70*09	IGHJ3*01
2	IGHV2-70*10	IGHJ3*01
2	IGHV2-70*16	IGHJ3*02
2	IGHV2-70D*14	IGHJ6*02
2	IGHV3-11*01	IGHJ2*01
2	IGHV3-11*04	IGHJ2*01
2	IGHV3-13*02	IGHJ3*02
2	IGHV3-13*02	IGHJ4*01
2	IGHV3-13*03	IGHJ6*01
2	IGHV3-13*03	IGHJ6*02
2	IGHV3-15*04	IGHJ6*04
2	IGHV3-15*06	IGHJ2*01
2	IGHV3-15*06	IGHJ6*01
2	IGHV3-15*09	IGHJ2*01
2	IGHV3-19*01	IGHJ6*03
2	IGHV3-20*02	IGHJ2*01
2	IGHV3-20*05	IGHJ5*03
2	IGHV3-22*01	IGHJ3*01
2	IGHV3-25*04	IGHJ6*02
2	IGHV3-30*01	IGHJ2*01
2	IGHV3-30*08	IGHJ6*02
2	IGHV3-30*09	IGHJ2*01
2	IGHV3-30*13	IGHJ5*03
2	IGHV3-30*15	IGHJ3*02
2	IGHV3-30-2*03	IGHJ6*02
2	IGHV3-30-22*01	IGHJ5*01
2	IGHV3-30-22*01	IGHJ5*03
2	IGHV3-30-33*02	IGHJ6*01
2	IGHV3-30-52*01	IGHJ3*02
2	IGHV3-30-52*01	IGHJ6*04
2	IGHV3-33*07	IGHJ6*01
2	IGHV3-33*07	IGHJ6*03
2	IGHV3-33-2*01	IGHJ3*01
2	IGHV3-33-2*01	IGHJ6*02
2	IGHV3-33-2*01	IGHJ6*03
2	IGHV3-33-2*01	IGHJ6*04
2	IGHV3-35*02	IGHJ6*01
2	IGHV3-38*02	IGHJ6*03
2	IGHV3-38-3*01	IGHJ6*02
2	IGHV3-41*02	IGHJ5*01
2	IGHV3-43D*06	IGHJ3*02
2	IGHV3-47*01	IGHJ6*03
2	IGHV3-47*02	IGHJ3*02
2	IGHV3-49*01	IGHJ3*01
2	IGHV3-49*03	IGHJ4*01
2	IGHV3-52*02	IGHJ1*01
2	IGHV3-54*07	IGHJ5*01
2	IGHV3-62*01	IGHJ1*01
2	IGHV3-62*01	IGHJ4*01
2	IGHV3-62*01	IGHJ5*03
2	IGHV3-62*01	IGHJ6*03
2	IGHV3-62*04	IGHJ5*01
2	IGHV3-62*04	IGHJ6*01
2	IGHV3-63*01	IGHJ5*01
2	IGHV3-63*02	IGHJ5*01
2	IGHV3-64*01	IGHJ6*04
2	IGHV3-64*02	IGHJ3*01
2	IGHV3-64*05	IGHJ6*04
2	IGHV3-64D*06	IGHJ2*01
2	IGHV3-71*02	IGHJ3*02
2	IGHV3-74*02	IGHJ2*01
2	IGHV3-9*02	IGHJ3*02
2	IGHV4-28*02	IGHJ6*02
2	IGHV4-28*05	IGHJ1*01
2	IGHV4-30-2*01	IGHJ6*03
2	IGHV4-30-2*02	IGHJ6*04
2	IGHV4-30-2*03	IGHJ2*01
2	IGHV4-30-4*02	IGHJ6*03
2	IGHV4-30-4*07	IGHJ6*03
2	IGHV4-30-4*10	IGHJ2*01
2	IGHV4-30-4*10	IGHJ6*01
2	IGHV4-31*09	IGHJ6*04
2	IGHV4-39*02	IGHJ6*01
2	IGHV4-39*03	IGHJ2*01
2	IGHV4-39*05	IGHJ6*01
2	IGHV4-59*06	IGHJ2*01
2	IGHV4-61*02	IGHJ3*01
2	IGHV4-61*02	IGHJ4*02
2	IGHV4-61*10	IGHJ5*03
2	IGHV4-80*03	IGHJ3*01
2	IGHV5-10-1*01	IGHJ6*01
2	IGHV5-10-1*02	IGHJ3*01
2	IGHV5-10-1*02	IGHJ3*02
2	IGHV5-51*02	IGHJ5*03
2	IGHV5-78*01	IGHJ6*03
2	IGHV6-1*01	IGHJ5*02
2	IGHV7-34-1*01	IGHJ6*04
2	IGHV7-34-1*02	IGHJ2*01
2	IGHV7-34-1*02	IGHJ5*01
2	IGHV7-34-1*03	IGHJ3*02
2	IGHV7-34-1*03	IGHJ6*02
2	IGHV7-34-1*03	IGHJ6*03
2	IGHV7-34-1*03	IGHJ6*04
2	IGHV7-34-1*04	IGHJ4*01
2	IGHV7-4-1*01	IGHJ4*01
2	IGHV7-4-1*01	IGHJ5*01
2	IGHV7-4-1*05	IGHJ2*01
2	IGHV7-4-1*05	IGHJ3*02
2	IGHV7-4-1*05	IGHJ6*01
2	IGHV7-81*01	IGHJ6*04
2	IGHV8-51-1*01	IGHJ3*02
2	IGHV8-51-1*01	IGHJ6*04
2	IGHV8-51-1*02	IGHJ4*01
2	IGHV8-51-1*03	IGHJ6*03
2	IGHV8-51-1*04	IGHJ6*01
2	IGHV8-51-1*05	IGHJ6*02
1	IGHV1-18*01	IGHJ2*01
1	IGHV1-18*01	IGHJ3*02
1	IGHV1-18*01	IGHJ4*01
1	IGHV1-18*02	IGHJ2*01
1	IGHV1-18*02	IGHJ3*01
1	IGHV1-18*02	IGHJ6*03
1	IGHV1-18*03	IGHJ3*01
1	IGHV1-18*03	IGHJ6*02
1	IGHV1-18*04	IGHJ1*01
1	IGHV1-18*04	IGHJ2*01
1	IGHV1-18*04	IGHJ3*01
1	IGHV1-18*04	IGHJ3*02
1	IGHV1-18*04	IGHJ4*01
1	IGHV1-18*04	IGHJ6*03
1	IGHV1-18*04	IGHJ6*04
1	IGHV1-2*01	IGHJ2*01
1	IGHV1-2*04	IGHJ2*01
1	IGHV1-2*04	IGHJ5*03
1	IGHV1-2*04	IGHJ6*03
1	IGHV1-2*06	IGHJ5*01
1	IGHV1-2*06	IGHJ6*02
1	IGHV1-2*07	IGHJ3*01
1	IGHV1-2*07	IGHJ3*02
1	IGHV1-2*07	IGHJ6*01
1	IGHV1-2*07	IGHJ6*04
1	IGHV1-3*01	IGHJ2*01
1	IGHV1-3*01	IGHJ4*01
1	IGHV1-3*01	IGHJ6*01
1	IGHV1-3*02	IGHJ5*01
1	IGHV1-3*02	IGHJ6*03
1	IGHV1-3*03	IGHJ3*01
1	IGHV1-3*03	IGHJ4*01
1	IGHV1-3*03	IGHJ6*02
1	IGHV1-3*04	IGHJ4*01
1	IGHV1-3*05	IGHJ6*02
1	IGHV1-38-4*01	IGHJ5*01
1	IGHV1-45*01	IGHJ3*01
1	IGHV1-45*02	IGHJ3*01
1	IGHV1-45*02	IGHJ6*04
1	IGHV1-45*03	IGHJ5*01
1	IGHV1-45*03	IGHJ5*03
1	IGHV1-46*02	IGHJ1*01
1	IGHV1-46*02	IGHJ2*01
1	IGHV1-46*02	IGHJ3*02
1	IGHV1-46*02	IGHJ6*01
1	IGHV1-46*02	IGHJ6*04
1	IGHV1-46*03	IGHJ6*01
1	IGHV1-46*03	IGHJ6*02
1	IGHV1-46*04	IGHJ1*01
1	IGHV1-58*01	IGHJ1*01
1	IGHV1-58*01	IGHJ4*01
1	IGHV1-58*02	IGHJ1*01
1	IGHV1-58*03	IGHJ1*01
1	IGHV1-58*03	IGHJ3*02
1	IGHV1-58*03	IGHJ4*01
1	IGHV1-58*03	IGHJ5*03
1	IGHV1-58*03	IGHJ6*02
1	IGHV1-58*03	IGHJ6*03
1	IGHV1-68*01	IGHJ4*02
1	IGHV1-68*01	IGHJ5*03
1	IGHV1-68*02	IGHJ6*02
1	IGHV1-68*03	IGHJ4*03
1	IGHV1-68*03	IGHJ5*03
1	IGHV1-68*04	IGHJ2*01
1	IGHV1-68*04	IGHJ5*01
1	IGHV1-68*04	IGHJ6*01
1	IGHV1-68*04	IGHJ6*04
1	IGHV1-69*01	IGHJ1*01
1	IGHV1-69*01	IGHJ3*02
1	IGHV1-69*02	IGHJ1*01
1	IGHV1-69*02	IGHJ3*02
1	IGHV1-69*02	IGHJ6*01
1	IGHV1-69*02	IGHJ6*02
1	IGHV1-69*03	IGHJ2*01
1	IGHV1-69*04	IGHJ2*01
1	IGHV1-69*04	IGHJ6*01
1	IGHV1-69*04	IGHJ6*03
1	IGHV1-69*04	IGHJ6*04
1	IGHV1-69*05	IGHJ5*01
1	IGHV1-69*06	IGHJ3*01
1	IGHV1-69*06	IGHJ6*03
1	IGHV1-69*08	IGHJ4*02
1	IGHV1-69*08	IGHJ5*01
1	IGHV1-69*10	IGHJ2*01
1	IGHV1-69*10	IGHJ4*01
1	IGHV1-69*11	IGHJ1*01
1	IGHV1-69*11	IGHJ2*01
1	IGHV1-69*18	IGHJ1*01
1	IGHV1-69*18	IGHJ2*01
1	IGHV1-69*18	IGHJ3*02
1	IGHV1-69*18	IGHJ6*02
1	IGHV1-69*19	IGHJ6*03
1	IGHV1-69-2*01	IGHJ4*01
1	IGHV1-8*01	IGHJ4*03
1	IGHV1-8*03	IGHJ3*01
1	IGHV1-8*03	IGHJ4*01
1	IGHV1-8*03	IGHJ6*01
1	IGHV1-NL1*01	IGHJ5*03
1	IGHV1-NL1*01	IGHJ6*01
1	IGHV2-10*01	IGHJ4*03
1	IGHV2-10*01	IGHJ5*01
1	IGHV2-10*01	IGHJ5*02
1	IGHV2-26*01	IGHJ2*01
1	IGHV2-26*02	IGHJ6*04
1	IGHV2-26*03	IGHJ3*01
1	IGHV2-26*03	IGHJ5*01
1	IGHV2-26*03	IGHJ5*04
1	IGHV2-26*04	IGHJ6*04
1	IGHV2-26*05	IGHJ6*02
1	IGHV2-5*01	IGHJ6*03
1	IGHV2-5*05	IGHJ6*03
1	IGHV2-5*05	IGHJ6*04
1	IGHV2-5*06	IGHJ1*01
1	IGHV2-5*06	IGHJ2*01
1	IGHV2-5*08	IGHJ2*01
1	IGHV2-5*08	IGHJ3*01
1	IGHV2-5*08	IGHJ4*02
1	IGHV2-5*08	IGHJ4*03
1	IGHV2-70*01	IGHJ6*03
1	IGHV2-70*03	IGHJ6*02
1	IGHV2-70*04	IGHJ3*01
1	IGHV2-70*04	IGHJ6*03
1	IGHV2-70*04	IGHJ6*04
1	IGHV2-70*05	IGHJ1*01
1	IGHV2-70*05	IGHJ3*01
1	IGHV2-70*05	IGHJ4*01
1	IGHV2-70*05	IGHJ6*01
1	IGHV2-70*05	IGHJ6*04
1	IGHV2-70*08	IGHJ6*03
1	IGHV2-70*09	IGHJ2*01
1	IGHV2-70*09	IGHJ3*02
1	IGHV2-70*10	IGHJ5*01
1	IGHV2-70*10	IGHJ6*04
1	IGHV2-70*12	IGHJ6*04
1	IGHV2-70*13	IGHJ6*04
1	IGHV2-70*18	IGHJ2*01
1	IGHV2-70*23	IGHJ6*03
1	IGHV2-70D*14	IGHJ2*01
1	IGHV2-70D*14	IGHJ3*02
1	IGHV2-70D*23	IGHJ3*01
1	IGHV2-70D*23	IGHJ3*02
1	IGHV3-11*01	IGHJ6*01
1	IGHV3-11*06	IGHJ3*02
1	IGHV3-11*06	IGHJ6*02
1	IGHV3-13*01	IGHJ6*02
1	IGHV3-13*02	IGHJ3*01
1	IGHV3-13*02	IGHJ6*01
1	IGHV3-13*02	IGHJ6*02
1	IGHV3-13*02	IGHJ6*03
1	IGHV3-13*03	IGHJ2*01
1	IGHV3-13*05	IGHJ3*02
1	IGHV3-13*06	IGHJ1*01
1	IGHV3-15*02	IGHJ6*01
1	IGHV3-15*03	IGHJ3*02
1	IGHV3-15*03	IGHJ6*04
1	IGHV3-15*08	IGHJ3*01
1	IGHV3-15*08	IGHJ3*02
1	IGHV3-15*08	IGHJ4*01
1	IGHV3-15*08	IGHJ6*01
1	IGHV3-16*03	IGHJ4*01
1	IGHV3-16*03	IGHJ6*01
1	IGHV3-16*04	IGHJ4*01
1	IGHV3-19*01	IGHJ3*02
1	IGHV3-19*02	IGHJ2*01
1	IGHV3-19*02	IGHJ6*01
1	IGHV3-20*01	IGHJ6*04
1	IGHV3-20*05	IGHJ2*01
1	IGHV3-21*03	IGHJ6*04
1	IGHV3-21*04	IGHJ2*01
1	IGHV3-21*04	IGHJ5*01
1	IGHV3-21*04	IGHJ6*03
1	IGHV3-21*06	IGHJ2*01
1	IGHV3-22*01	IGHJ4*01
1	IGHV3-25*01	IGHJ6*04
1	IGHV3-25*02	IGHJ6*01
1	IGHV3-25*03	IGHJ3*02
1	IGHV3-25*03	IGHJ4*01
1	IGHV3-25*03	IGHJ6*03
1	IGHV3-29*01	IGHJ5*01
1	IGHV3-29*02	IGHJ5*03
1	IGHV3-30*01	IGHJ3*01
1	IGHV3-30*01	IGHJ6*01
1	IGHV3-30*02	IGHJ6*01
1	IGHV3-30*05	IGHJ6*04
1	IGHV3-30*07	IGHJ6*01
1	IGHV3-30*09	IGHJ3*01
1	IGHV3-30*09	IGHJ6*04
1	IGHV3-30*10	IGHJ3*02
1	IGHV3-30*11	IGHJ6*01
1	IGHV3-30*13	IGHJ3*01
1	IGHV3-30*14	IGHJ3*01
1	IGHV3-30*14	IGHJ6*04
1	IGHV3-30*15	IGHJ6*04
1	IGHV3-30*20	IGHJ3*02
1	IGHV3-30-2*01	IGHJ5*03
1	IGHV3-30-2*03	IGHJ2*01
1	IGHV3-30-2*03	IGHJ5*01
1	IGHV3-30-3*02	IGHJ3*01
1	IGHV3-30-33*02	IGHJ4*01
1	IGHV3-30-42*03	IGHJ1*01
1	IGHV3-30-52*01	IGHJ1*01
1	IGHV3-30-52*01	IGHJ5*02
1	IGHV3-33*01	IGHJ2*01
1	IGHV3-33*02	IGHJ3*02
1	IGHV3-33*03	IGHJ2*01
1	IGHV3-33*03	IGHJ6*03
1	IGHV3-35*01	IGHJ6*02
1	IGHV3-35*02	IGHJ6*03
1	IGHV3-38*01	IGHJ2*01
1	IGHV3-38*03	IGHJ6*01
1	IGHV3-38*03	IGHJ6*03
1	IGHV3-38-3*01	IGHJ3*02
1	IGHV3-38-3*01	IGHJ6*01
1	IGHV3-38-3*02	IGHJ6*01
1	IGHV3-38-3*02	IGHJ6*03
1	IGHV3-41*02	IGHJ1*01
1	IGHV3-41*02	IGHJ4*01
1	IGHV3-43*01	IGHJ3*01
1	IGHV3-43*01	IGHJ6*04
1	IGHV3-43D*03	IGHJ3*02
1	IGHV3-43D*03	IGHJ4*01
1	IGHV3-43D*03	IGHJ5*04
1	IGHV3-43D*03	IGHJ6*01
1	IGHV3-43D*03	IGHJ6*04
1	IGHV3-43D*04	IGHJ2*01
1	IGHV3-43D*04	IGHJ3*01
1	IGHV3-43D*05	IGHJ1*01
1	IGHV3-43D*05	IGHJ3*01
1	IGHV3-43D*05	IGHJ4*01
1	IGHV3-43D*05	IGHJ6*02
1	IGHV3-43D*05	IGHJ6*04
1	IGHV3-43D*06	IGHJ6*01
1	IGHV3-47*01	IGHJ1*01
1	IGHV3-47*01	IGHJ6*02
1	IGHV3-47*02	IGHJ1*01
1	IGHV3-47*02	IGHJ6*02
1	IGHV3-48*01	IGHJ6*03
1	IGHV3-48*02	IGHJ6*01
1	IGHV3-48*03	IGHJ1*01
1	IGHV3-48*03	IGHJ2*01
1	IGHV3-48*03	IGHJ3*01
1	IGHV3-49*01	IGHJ2*01
1	IGHV3-49*02	IGHJ4*01
1	IGHV3-49*02	IGHJ6*01
1	IGHV3-49*02	IGHJ6*02
1	IGHV3-49*02	IGHJ6*04
1	IGHV3-49*03	IGHJ2*01
1	IGHV3-49*03	IGHJ5*03
1	IGHV3-49*03	IGHJ6*04
1	IGHV3-49*04	IGHJ2*01
1	IGHV3-49*05	IGHJ3*01
1	IGHV3-49*05	IGHJ6*03
1	IGHV3-52*01	IGHJ2*01
1	IGHV3-52*01	IGHJ6*03
1	IGHV3-52*01	IGHJ6*04
1	IGHV3-52*02	IGHJ2*01
1	IGHV3-52*02	IGHJ5*03
1	IGHV3-52*03	IGHJ4*01
1	IGHV3-53*02	IGHJ6*02
1	IGHV3-53*03	IGHJ2*01
1	IGHV3-53*03	IGHJ6*02
1	IGHV3-53*03	IGHJ6*04
1	IGHV3-54*01	IGHJ5*01
1	IGHV3-54*02	IGHJ5*01
1	IGHV3-60*06	IGHJ4*02
1	IGHV3-60*06	IGHJ6*02
1	IGHV3-62*01	IGHJ6*01
1	IGHV3-62*03	IGHJ1*01
1	IGHV3-62*03	IGHJ5*01
1	IGHV3-62*03	IGHJ6*02
1	IGHV3-62*03	IGHJ6*03
1	IGHV3-64*02	IGHJ5*01
1	IGHV3-64*02	IGHJ5*03
1	IGHV3-64*03	IGHJ1*01
1	IGHV3-64*03	IGHJ3*01
1	IGHV3-64*03	IGHJ3*02
1	IGHV3-64*04	IGHJ3*01
1	IGHV3-64*05	IGHJ2*01
1	IGHV3-64*05	IGHJ5*03
1	IGHV3-64D*08	IGHJ1*01
1	IGHV3-66*01	IGHJ6*01
1	IGHV3-69-1*02	IGHJ4*01
1	IGHV3-69-1*02	IGHJ5*03
1	IGHV3-69-1*02	IGHJ6*01
1	IGHV3-71*02	IGHJ6*04
1	IGHV3-72*01	IGHJ4*01
1	IGHV3-73*01	IGHJ2*01
1	IGHV3-73*01	IGHJ3*01
1	IGHV3-73*01	IGHJ6*03
1	IGHV3-74*03	IGHJ6*04
1	IGHV3-9*01	IGHJ5*01
1	IGHV3-9*01	IGHJ6*02
1	IGHV3-9*01	IGHJ6*03
1	IGHV3-9*02	IGHJ6*02
1	IGHV3-NL1*01	IGHJ2*01
1	IGHV3-NL1*01	IGHJ6*03
1	IGHV4-28*06	IGHJ3*02
1	IGHV4-30-2*01	IGHJ1*01
1	IGHV4-30-2*01	IGHJ3*01
1	IGHV4-30-2*01	IGHJ6*02
1	IGHV4-30-2*02	IGHJ3*01
1	IGHV4-30-2*02	IGHJ5*01
1	IGHV4-30-2*02	IGHJ6*03
1	IGHV4-30-2*03	IGHJ6*02
1	IGHV4-30-2*03	IGHJ6*03
1	IGHV4-30-2*05	IGHJ1*01
1	IGHV4-30-2*05	IGHJ6*03
1	IGHV4-30-2*06	IGHJ3*02
1	IGHV4-30-2*07	IGHJ5*04
1	IGHV4-30-2*07	IGHJ6*02
1	IGHV4-30-2*07	IGHJ6*04
1	IGHV4-30-4*02	IGHJ4*01
1	IGHV4-30-4*03	IGHJ3*02
1	IGHV4-30-4*07	IGHJ3*02
1	IGHV4-30-4*10	IGHJ6*03
1	IGHV4-31*01	IGHJ3*01
1	IGHV4-31*01	IGHJ6*01
1	IGHV4-31*05	IGHJ1*01
1	IGHV4-31*09	IGHJ6*02
1	IGHV4-34*05	IGHJ6*03
1	IGHV4-39*01	IGHJ6*01
1	IGHV4-39*10	IGHJ6*01
1	IGHV4-4*09	IGHJ2*01
1	IGHV4-4*09	IGHJ6*04
1	IGHV4-55*02	IGHJ3*01
1	IGHV4-55*04	IGHJ3*01
1	IGHV4-55*04	IGHJ6*03
1	IGHV4-55*06	IGHJ2*01
1	IGHV4-55*06	IGHJ3*01
1	IGHV4-55*07	IGHJ3*01
1	IGHV4-55*08	IGHJ6*02
1	IGHV4-55*09	IGHJ2*01
1	IGHV4-59*04	IGHJ2*01
1	IGHV4-59*06	IGHJ3*01
1	IGHV4-59*06	IGHJ3*02
1	IGHV4-59*11	IGHJ3*01
1	IGHV4-61*01	IGHJ6*01
1	IGHV4-61*02	IGHJ1*01
1	IGHV4-61*02	IGHJ6*03
1	IGHV4-61*08	IGHJ3*02
1	IGHV4-61*10	IGHJ3*01
1	IGHV4-61*10	IGHJ6*01
1	IGHV4-61*11	IGHJ1*01
1	IGHV5-10-1*01	IGHJ3*01
1	IGHV5-10-1*01	IGHJ3*02
1	IGHV5-10-1*01	IGHJ6*04
1	IGHV5-10-1*02	IGHJ1*01
1	IGHV5-10-1*02	IGHJ2*01
1	IGHV5-10-1*02	IGHJ4*01
1	IGHV5-10-1*02	IGHJ6*02
1	IGHV5-10-1*02	IGHJ6*04
1	IGHV5-10-1*03	IGHJ6*02
1	IGHV5-10-1*04	IGHJ3*02
1	IGHV5-10-1*04	IGHJ6*02
1	IGHV5-10-1*04	IGHJ6*03
1	IGHV5-51*01	IGHJ3*01
1	IGHV5-51*02	IGHJ3*01
1	IGHV5-51*04	IGHJ6*04
1	IGHV5-51*07	IGHJ4*01
1	IGHV5-51*07	IGHJ6*02
1	IGHV5-78*01	IGHJ3*01
1	IGHV5-78*01	IGHJ6*01
1	IGHV5-78*01	IGHJ6*02
1	IGHV6-1*02	IGHJ3*01
1	IGHV6-1*02	IGHJ4*01
1	IGHV6-1*02	IGHJ6*02
1	IGHV6-1*02	IGHJ6*03
1	IGHV6-1*03	IGHJ5*03
1	IGHV7-34-1*01	IGHJ4*03
1	IGHV7-34-1*02	IGHJ1*01
1	IGHV7-34-1*02	IGHJ4*02
1	IGHV7-34-1*03	IGHJ6*01
1	IGHV7-34-1*04	IGHJ5*01
1	IGHV7-40*03	IGHJ5*03
1	IGHV7-40*04	IGHJ5*03
1	IGHV7-40*04	IGHJ6*01
1	IGHV7-4-1*01	IGHJ5*03
1	IGHV7-4-1*01	IGHJ6*01
1	IGHV7-4-1*02	IGHJ6*01
1	IGHV7-4-1*03	IGHJ2*01
1	IGHV7-4-1*03	IGHJ3*02
1	IGHV7-4-1*04	IGHJ3*02
1	IGHV7-4-1*04	IGHJ5*01
1	IGHV7-4-1*04	IGHJ6*03
1	IGHV7-4-1*04	IGHJ6*04
1	IGHV7-81*01	IGHJ3*02
1	IGHV7-81*01	IGHJ5*01
1	IGHV7-81*01	IGHJ5*02
1	IGHV7-81*01	IGHJ5*03
1	IGHV7-81*02	IGHJ1*01
1	IGHV7-81*02	IGHJ5*01
1	IGHV8-51-1*01	IGHJ4*01
1	IGHV8-51-1*01	IGHJ5*01
1	IGHV8-51-1*02	IGHJ3*02
1	IGHV8-51-1*02	IGHJ5*03
1	IGHV8-51-1*02	IGHJ6*03
1	IGHV8-51-1*02	IGHJ6*04
1	IGHV8-51-1*03	IGHJ6*02
1	IGHV8-51-1*04	IGHJ3*02
1	IGHV8-51-1*04	IGHJ6*03
1	IGHV8-51-1*05	IGHJ1*01
1	IGHV8-51-1*05	IGHJ2*01
1	IGHV8-51-1*05	IGHJ4*01
1	IGHV8-51-1*05	IGHJ5*03
