Count	V_gene	J_gene
19	IGHV3-63*01	IGHJ4*01
19	IGHV3-63*01	IGHJ5*03
19	IGHV3-63*02	IGHJ4*01
19	IGHV3-64*01	IGHJ3*01
19	IGHV5-51*06	IGHJ6*01
19	IGHV7-4-1*02	IGHJ6*02
18	IGHV2-10*01	IGHJ6*02
18	IGHV3-30-42*03	IGHJ6*01
18	IGHV3-41*02	IGHJ6*02
18	IGHV3-54*07	IGHJ6*04
18	IGHV3-62*04	IGHJ3*02
18	IGHV3-63*02	IGHJ3*02
17	IGHV1-3*02	IGHJ2*01
17	IGHV1-46*03	IGHJ3*01
17	IGHV1-68*03	IGHJ1*01
17	IGHV2-26*01	IGHJ6*03
17	IGHV3-29*01	IGHJ1*01
17	IGHV3-29*01	IGHJ3*02
17	IGHV3-29*02	IGHJ6*04
17	IGHV3-30-22*01	IGHJ4*01
17	IGHV3-54*07	IGHJ3*01
17	IGHV3-9*01	IGHJ5*03
17	IGHV5-10-1*02	IGHJ6*01
17	IGHV7-81*01	IGHJ6*03
16	IGHV1-68*02	IGHJ3*01
16	IGHV1-69-2*01	IGHJ6*04
16	IGHV1-NL1*01	IGHJ1*01
16	IGHV3-15*03	IGHJ2*01
16	IGHV3-30-2*01	IGHJ4*01
16	IGHV3-30-42*03	IGHJ2*01
16	IGHV3-32*01	IGHJ1*01
16	IGHV3-64*01	IGHJ6*02
16	IGHV3-9*03	IGHJ3*02
16	IGHV3-9*04	IGHJ4*01
16	IGHV5-51*04	IGHJ6*03
16	IGHV7-34-1*04	IGHJ3*01
16	IGHV7-34-1*04	IGHJ6*02
16	IGHV7-4-1*05	IGHJ6*02
15	IGHV1-2*02	IGHJ3*01
15	IGHV1-3*02	IGHJ6*02
15	IGHV3-29*01	IGHJ3*01
15	IGHV3-32*01	IGHJ3*01
15	IGHV3-38*01	IGHJ6*04
15	IGHV3-43*01	IGHJ2*01
15	IGHV3-54*01	IGHJ1*01
15	IGHV3-54*02	IGHJ6*02
15	IGHV3-9*01	IGHJ3*01
15	IGHV4-30-2*01	IGHJ6*01
15	IGHV4-55*04	IGHJ2*01
15	IGHV6-1*02	IGHJ6*01
15	IGHV7-34-1*02	IGHJ6*03
15	IGHV7-4-1*01	IGHJ6*02
14	IGHV1-38-4*01	IGHJ6*03
14	IGHV1-45*03	IGHJ6*03
14	IGHV1-69*05	IGHJ6*03
14	IGHV1-69-2*01	IGHJ1*01
14	IGHV1-8*01	IGHJ4*01
14	IGHV3-30-2*01	IGHJ6*01
14	IGHV3-30-2*01	IGHJ6*04
14	IGHV3-30-42*03	IGHJ6*03
14	IGHV3-47*01	IGHJ2*01
14	IGHV3-54*07	IGHJ1*01
14	IGHV6-1*03	IGHJ6*03
14	IGHV7-34-1*01	IGHJ3*01
13	IGHV1-18*01	IGHJ6*02
13	IGHV1-45*02	IGHJ6*02
13	IGHV1-58*01	IGHJ2*01
13	IGHV2-5*08	IGHJ6*01
13	IGHV3-41*02	IGHJ3*01
13	IGHV3-43D*03	IGHJ2*01
13	IGHV3-52*03	IGHJ2*01
13	IGHV3-63*03	IGHJ3*01
13	IGHV3-64*02	IGHJ6*04
13	IGHV3-9*01	IGHJ2*01
13	IGHV3-9*04	IGHJ2*01
13	IGHV4-30-4*02	IGHJ6*01
13	IGHV6-1*01	IGHJ2*01
13	IGHV7-4-1*04	IGHJ6*02
13	IGHV7-81*01	IGHJ6*01
12	IGHV1-18*04	IGHJ6*01
12	IGHV1-58*02	IGHJ2*01
12	IGHV1-68*01	IGHJ3*01
12	IGHV2-70D*23	IGHJ6*02
12	IGHV3-15*08	IGHJ2*01
12	IGHV3-29*01	IGHJ6*02
12	IGHV3-29*02	IGHJ4*01
12	IGHV3-30*15	IGHJ6*02
12	IGHV3-43D*03	IGHJ3*01
12	IGHV3-52*02	IGHJ4*01
12	IGHV3-60*06	IGHJ6*01
12	IGHV3-64*01	IGHJ2*01
12	IGHV7-4-1*01	IGHJ3*01
11	IGHV1-2*04	IGHJ3*01
11	IGHV1-3*03	IGHJ2*01
11	IGHV1-38-4*01	IGHJ6*01
11	IGHV2-10*02	IGHJ4*01
11	IGHV2-26*02	IGHJ2*01
11	IGHV2-26*02	IGHJ6*02
11	IGHV2-26*03	IGHJ6*02
11	IGHV2-26*04	IGHJ6*02
11	IGHV2-26*05	IGHJ3*02
11	IGHV2-5*08	IGHJ4*01
11	IGHV2-5*09	IGHJ3*01
11	IGHV2-70*11	IGHJ6*03
11	IGHV3-13*02	IGHJ2*01
11	IGHV3-30*15	IGHJ6*03
11	IGHV3-30-2*03	IGHJ6*03
11	IGHV3-30-3*02	IGHJ6*01
11	IGHV3-54*02	IGHJ6*03
11	IGHV3-54*07	IGHJ2*01
11	IGHV3-63*02	IGHJ2*01
11	IGHV3-64*01	IGHJ6*01
11	IGHV3-9*03	IGHJ3*01
11	IGHV3-9*04	IGHJ1*01
11	IGHV4-30-4*02	IGHJ3*01
11	IGHV6-1*01	IGHJ1*01
11	IGHV6-1*03	IGHJ2*01
11	IGHV7-34-1*02	IGHJ3*01
11	IGHV7-4-1*05	IGHJ3*01
10	IGHV1-2*01	IGHJ6*01
10	IGHV1-2*07	IGHJ6*02
10	IGHV1-38-4*01	IGHJ3*01
10	IGHV1-46*04	IGHJ3*02
10	IGHV1-58*02	IGHJ3*02
10	IGHV1-68*01	IGHJ4*01
10	IGHV1-69-2*01	IGHJ2*01
10	IGHV2-26*02	IGHJ3*01
10	IGHV3-19*02	IGHJ3*01
10	IGHV3-19*02	IGHJ6*04
10	IGHV3-35*02	IGHJ3*01
10	IGHV3-47*02	IGHJ6*01
10	IGHV3-54*01	IGHJ5*03
10	IGHV3-54*02	IGHJ5*03
10	IGHV3-62*03	IGHJ3*01
10	IGHV3-63*03	IGHJ3*02
10	IGHV3-63*03	IGHJ6*04
10	IGHV4-30-2*02	IGHJ6*02
10	IGHV4-39*02	IGHJ3*01
10	IGHV4-39*08	IGHJ6*04
10	IGHV6-1*01	IGHJ3*02
10	IGHV7-34-1*02	IGHJ3*02
9	IGHV1-18*03	IGHJ4*01
9	IGHV1-2*02	IGHJ6*03
9	IGHV2-26*01	IGHJ3*02
9	IGHV2-26*02	IGHJ6*03
9	IGHV2-26*03	IGHJ2*01
9	IGHV3-15*05	IGHJ6*03
9	IGHV3-20*01	IGHJ3*01
9	IGHV3-30-2*01	IGHJ6*03
9	IGHV3-30-42*03	IGHJ3*02
9	IGHV3-41*02	IGHJ3*02
9	IGHV3-41*02	IGHJ6*01
9	IGHV3-41*02	IGHJ6*03
9	IGHV3-47*02	IGHJ3*01
9	IGHV3-54*01	IGHJ2*01
9	IGHV3-62*04	IGHJ3*01
9	IGHV3-72*01	IGHJ6*04
9	IGHV4-30-2*05	IGHJ6*01
9	IGHV7-81*01	IGHJ6*02
8	IGHV1-45*01	IGHJ6*03
8	IGHV1-68*02	IGHJ1*01
8	IGHV1-68*02	IGHJ3*02
8	IGHV1-68*03	IGHJ6*03
8	IGHV2-10*02	IGHJ2*01
8	IGHV2-70*04	IGHJ6*01
8	IGHV2-70*11	IGHJ4*01
8	IGHV2-70*16	IGHJ4*01
8	IGHV2-70*21	IGHJ6*03
8	IGHV2-70D*14	IGHJ3*01
8	IGHV3-25*01	IGHJ6*01
8	IGHV3-30-2*01	IGHJ6*02
8	IGHV3-30-2*03	IGHJ5*03
8	IGHV3-33-2*01	IGHJ6*01
8	IGHV3-54*07	IGHJ6*02
8	IGHV3-60*06	IGHJ6*03
8	IGHV3-63*01	IGHJ1*01
8	IGHV3-64*05	IGHJ3*01
8	IGHV3-72*01	IGHJ6*01
8	IGHV4-30-2*03	IGHJ4*01
8	IGHV4-30-2*05	IGHJ6*04
8	IGHV4-39*05	IGHJ3*01
8	IGHV6-1*03	IGHJ6*02
8	IGHV7-34-1*04	IGHJ2*01
8	IGHV7-81*02	IGHJ6*01
8	IGHV7-81*02	IGHJ6*03
8	IGHV8-51-1*01	IGHJ5*03
7	IGHV1-24*01	IGHJ3*01
7	IGHV1-38-4*01	IGHJ4*01
7	IGHV1-45*01	IGHJ6*01
7	IGHV1-68*01	IGHJ2*01
7	IGHV1-68*03	IGHJ6*02
7	IGHV1-69*11	IGHJ6*02
7	IGHV1-69-2*01	IGHJ6*01
7	IGHV1-69-2*01	IGHJ6*03
7	IGHV1-8*02	IGHJ4*02
7	IGHV2-10*01	IGHJ4*01
7	IGHV2-10*02	IGHJ6*04
7	IGHV2-26*04	IGHJ3*01
7	IGHV2-26*05	IGHJ4*01
7	IGHV2-70D*14	IGHJ4*01
7	IGHV3-11*03	IGHJ2*01
7	IGHV3-15*03	IGHJ3*01
7	IGHV3-19*01	IGHJ6*04
7	IGHV3-25*01	IGHJ2*01
7	IGHV3-25*01	IGHJ3*02
7	IGHV3-29*01	IGHJ5*03
7	IGHV3-29*02	IGHJ3*02
7	IGHV3-30*07	IGHJ3*01
7	IGHV3-30*15	IGHJ3*01
7	IGHV3-30*15	IGHJ6*01
7	IGHV3-30-2*03	IGHJ6*01
7	IGHV3-30-22*01	IGHJ1*01
7	IGHV3-30-33*02	IGHJ3*01
7	IGHV3-30-33*02	IGHJ6*02
7	IGHV3-33*07	IGHJ2*01
7	IGHV3-52*01	IGHJ3*02
7	IGHV3-54*07	IGHJ4*01
7	IGHV3-62*04	IGHJ2*01
7	IGHV4-30-2*03	IGHJ3*01
7	IGHV4-30-2*05	IGHJ4*01
7	IGHV4-80*02	IGHJ2*01
7	IGHV5-10-1*01	IGHJ2*01
7	IGHV5-51*06	IGHJ6*04
7	IGHV7-34-1*01	IGHJ6*02
7	IGHV7-34-1*02	IGHJ6*04
7	IGHV7-34-1*04	IGHJ6*01
7	IGHV7-4-1*01	IGHJ2*01
7	IGHV7-81*01	IGHJ3*01
7	IGHV8-51-1*01	IGHJ2*01
6	IGHV1-18*01	IGHJ3*01
6	IGHV1-3*04	IGHJ2*01
6	IGHV1-45*01	IGHJ6*02
6	IGHV1-58*02	IGHJ6*01
6	IGHV1-69*21	IGHJ6*01
6	IGHV1-8*01	IGHJ3*02
6	IGHV2-26*03	IGHJ1*01
6	IGHV2-5*04	IGHJ3*01
6	IGHV2-70*02	IGHJ4*01
6	IGHV2-70*21	IGHJ3*01
6	IGHV3-11*05	IGHJ6*01
6	IGHV3-19*01	IGHJ2*01
6	IGHV3-19*01	IGHJ3*01
6	IGHV3-23*03	IGHJ2*01
6	IGHV3-29*01	IGHJ4*01
6	IGHV3-29*01	IGHJ6*01
6	IGHV3-30*10	IGHJ3*01
6	IGHV3-43*02	IGHJ2*01
6	IGHV3-43D*05	IGHJ2*01
6	IGHV3-47*01	IGHJ6*01
6	IGHV3-52*03	IGHJ6*03
6	IGHV3-54*01	IGHJ3*01
6	IGHV3-54*01	IGHJ4*01
6	IGHV3-62*01	IGHJ3*01
6	IGHV3-63*03	IGHJ4*02
6	IGHV4-30-2*03	IGHJ6*01
6	IGHV4-39*03	IGHJ3*01
6	IGHV4-39*03	IGHJ6*01
6	IGHV6-1*01	IGHJ4*02
6	IGHV6-1*03	IGHJ6*04
6	IGHV7-4-1*02	IGHJ3*02
6	IGHV7-4-1*02	IGHJ6*04
6	IGHV8-51-1*01	IGHJ3*01
6	IGHV8-51-1*01	IGHJ6*02
6	IGHV8-51-1*01	IGHJ6*03
6	IGHV8-51-1*02	IGHJ3*01
